MSG_TYPE,MMSI,NAME,IMO_NUMBER,CALL_SIGN,LAT_AVG,LON_AVG,PERIOD,SPEED_KNOTS,COG_DEG,HEADING_DEG,NAV_STATUS,NAV_SENSOR,SHIP_AND_CARGO_TYPE,DRAUGHT,DRAUGHT,DIM_BOW,DIM_STERN,DIM_PORT,DIM_STARBOARD,DESTINATION,MMSI_COUNTRY_CD,RECEIVER
1,319099200,"M/Y JOY",1012854,"ZGFV2",22.426376,-77.799042,2024-03-13 22:50:00.000,11.4,301.8,308,0,15,37,3.0,3.0,46,24,5,6,"IT GOA","KY",ORBCOMM-T
1,319099200,"M/Y JOY",1012854,"ZGFV2",22.770955,-78.587434,2024-03-14 03:00:00.000,11.6,289.3,294,0,15,37,3.0,3.0,46,24,5,6,"IT GOA","KY",ORBCOMM-T
1,319099200,"M/Y JOY",1012854,"ZGFV2",22.774499,-78.597876,2024-03-14 03:05:00.000,11.6,289.0,292,0,15,37,3.0,3.0,46,24,5,6,"IT GOA","KY",ORBCOMM-T
1,538070059,"TSALTA",0,"V7FZ4",21.834861,-76.976082,2024-03-14 11:05:00.000,12.6,291.5,301,0,1,37,2.1,2.1,24,10,7,0,"BVI'S","MH",ORBCOMM-T
3,538070059,"TSALTA",0,"V7FZ4",21.836868,-76.981899,2024-03-14 11:10:00.000,14.4,287.0,286,0,1,37,2.1,2.1,24,10,7,0,"BVI'S","MH",ORBCOMM-T
3,538070059,"TSALTA",0,"V7FZ4",22.221616,-77.503084,2024-03-14 13:55:00.000,13.6,312.6,322,0,1,37,2.1,2.1,24,10,7,0,"BVI'S","MH",ORBCOMM-T
1,538070059,"TSALTA",0,"V7FZ4",22.572415,-77.949782,2024-03-14 16:15:00.000,13.4,301.4,313,0,1,37,2.1,2.1,24,10,7,0,"BVI'S","MH",ORBCOMM-T
1,319118300,"AMIGOS",1013119,"ZGGR7",22.321436,-77.632522,2024-03-14 16:15:00.000,13.5,312.1,308,0,3,37,3.4,3.4,19,36,4,5,"BS ALBANY","KY",ORBCOMM-T
1,319118300,"AMIGOS",1013119,"ZGGR7",22.327990,-77.640181,2024-03-14 16:20:00.000,13.4,313.0,308,0,3,37,3.4,3.4,19,36,4,5,"BS ALBANY","KY",ORBCOMM-T
1,538070059,"TSALTA",0,"V7FZ4",22.581303,-77.965166,2024-03-14 16:20:00.000,13.2,300.8,312,0,1,37,2.1,2.1,24,10,7,0,"BVI'S","MH",ORBCOMM-T
